datetime,demand,price
2023-01-01,24189.979166666668,12.89689645833333
2023-01-02,27005.520833333332,9.37665327083334
2023-01-03,29646.3125,16.351104437500002
2023-01-04,27967.145833333332,4.808878041666666
2023-01-05,29392.5,11.922312770833337
2023-01-06,28316.125,10.243243958333334
2023-01-07,25280.9375,8.725011208333331
2023-01-08,26629.479166666668,11.390061874999999
2023-01-09,30403.104166666668,15.1893698125
2023-01-10,31143.895833333332,14.176166666666665
2023-01-11,29849.6875,11.2938325
2023-01-12,30083.520833333332,11.161167416666668
2023-01-13,29244.958333333332,15.205521645833329
2023-01-14,26709.229166666668,11.129915395833333
2023-01-15,27734.791666666668,13.153629229166663
2023-01-16,33672.125,12.432959104166667
2023-01-17,35442.354166666664,15.740563416666665
2023-01-18,34685.1875,16.87987541666667
2023-01-19,34829.125,17.169869916666666
2023-01-20,34210.4375,15.606929250000002
2023-01-21,31438.791666666668,15.645269916666669
2023-01-22,31328.208333333332,13.61225
2023-01-23,35039.020833333336,14.513380083333335
2023-01-24,35124.4375,14.2884175
2023-01-25,34792.0625,17.876042770833333
2023-01-26,34143.208333333336,16.622611645833334
2023-01-27,34123.4375,15.702125
2023-01-28,31320.104166666668,15.092083333333335
2023-01-29,27744.083333333332,8.8794375
2023-01-30,30565.104166666668,14.767188333333333
2023-01-31,29862.583333333332,15.068958333333333
2023-02-01,30107.75,13.818780520833332
2023-02-02,29771.333333333332,13.724233083333335
2023-02-03,29484.666666666668,14.219979166666667
2023-02-04,27871.833333333332,12.0233790625
2023-02-05,28041.354166666668,12.761911895833334
2023-02-06,31858.375,16.74749041666666
2023-02-07,32794.770833333336,16.615524604166666
2023-02-08,31780.875,14.892198395833333
2023-02-09,31520.083333333332,14.581060770833329
2023-02-10,31042.5,13.780625000000004
2023-02-11,28143.729166666668,16.41764439583333
2023-02-12,28129.0,15.200401104166668
2023-02-13,30433.229166666668,14.694086708333334
2023-02-14,31021.354166666668,18.142523916666665
2023-02-15,30010.9375,14.323833124999998
2023-02-16,30374.583333333332,11.154958333333333
2023-02-17,27381.6875,10.071821208333333
2023-02-18,25304.541666666668,10.867791666666667
2023-02-19,24233.145833333332,10.320895833333333
2023-02-20,27629.854166666668,9.829595604166666
2023-02-21,30124.020833333332,14.544999791666665
2023-02-22,30365.375,13.286459166666665
2023-02-23,30447.0,12.790270833333334
2023-02-24,30149.270833333332,12.884875520833333
2023-02-25,27893.229166666668,13.766583812499999
2023-02-26,27702.270833333332,11.827674416666666
2023-02-27,32134.333333333332,15.58035297916667
2023-02-28,32316.395833333332,12.628591875000001
2023-03-01,31967.583333333332,12.1847368125
2023-03-02,31807.916666666668,13.104284666666667
2023-03-03,32557.0,17.45193820833334
2023-03-04,29705.354166666668,16.00734825
2023-03-05,29436.0,14.945625333333334
2023-03-06,32192.5,14.150414520833333
2023-03-07,32505.833333333332,23.8180623125
2023-03-08,34467.25,15.484583333333333
2023-03-09,34015.1875,15.777239770833333
2023-03-10,32245.479166666668,13.68691666666667
2023-03-11,29414.270833333332,13.006645833333334
2023-03-12,25847.333333333332,11.391348854166667
2023-03-13,27563.395833333332,10.414158812500004
2023-03-14,29775.354166666668,17.932562645833332
2023-03-15,32105.791666666668,13.362152499999999
2023-03-16,29395.645833333332,12.201459166666666
2023-03-17,28545.375,14.324916020833333
2023-03-18,25855.708333333332,10.5151875
2023-03-19,24941.708333333332,11.813626583333335
2023-03-20,29426.875,16.3295
2023-03-21,27189.479166666668,9.804416166666666
2023-03-22,25517.416666666668,8.717082354166667
2023-03-23,26422.416666666668,8.84296202083333
2023-03-24,25533.3125,2.043022937499997
2023-03-25,24140.416666666668,6.520062500000002
2023-03-26,26073.369565217392,13.235603347826089
2023-03-27,28696.479166666668,9.054020229166667
2023-03-28,30133.979166666668,13.093734104166666
2023-03-29,29147.708333333332,12.517507375000001
2023-03-30,26565.333333333332,10.9292574375
2023-03-31,27523.125,11.181157416666666
2023-04-01,25677.854166666668,11.370595104166668
2023-04-02,24590.395833333332,13.997459979166667
2023-04-03,26785.625,10.700146104166667
2023-04-04,26604.291666666668,10.089437499999999
2023-04-05,28788.895833333332,10.116875
2023-04-06,26325.145833333332,9.230808791666666
2023-04-07,23369.604166666668,8.6765203125
2023-04-08,22333.0,11.058454645833333
2023-04-09,21418.020833333332,6.080690958333333
2023-04-10,21682.291666666668,-0.9337055833333331
2023-04-11,25165.3125,7.6320940833333335
2023-04-12,26211.8125,10.31425
2023-04-13,25790.520833333332,10.190479999999999
2023-04-14,28561.541666666668,10.113304541666666
2023-04-15,24640.0625,9.789917291666665
2023-04-16,24568.875,11.474648395833334
2023-04-17,27269.645833333332,14.2343961875
2023-04-18,25842.25,10.584338104166667
2023-04-19,25252.583333333332,8.974172479166665
2023-04-20,24183.6875,9.969979833333333
2023-04-21,26604.3125,10.767083333333332
2023-04-22,24350.083333333332,9.531375958333333
2023-04-23,24254.125,10.860583333333333
2023-04-24,27806.979166666668,9.440479166666666
2023-04-25,27287.208333333332,8.663446354166664
2023-04-26,28512.625,8.8938545625
2023-04-27,28515.0625,10.064272166666667
2023-04-28,27099.145833333332,12.574012895833333
2023-04-29,23288.541666666668,10.1916988125
2023-04-30,22860.541666666668,9.1288125
2023-05-01,22914.958333333332,9.057500000000001
2023-05-02,25997.270833333332,9.641540020833334
2023-05-03,24128.708333333332,7.525782749999999
2023-05-04,23962.708333333332,6.325271083333334
2023-05-05,24915.6875,8.928483625000002
2023-05-06,23618.604166666668,9.455729166666668
2023-05-07,21408.604166666668,7.793270833333334
